Respondent,Location,Role,Number of species used ,Volume_Midpoint,Latitude,Longitude,High Rainforest (WR),"Semi-deciduous Rainforest (ASH, ER, VR, Sunyani)",Forest Savannah Transition (BA),"Coastal Savannah (CR, GA, Keta)","Guinea Savannah (UE, UW, ER)","Sudan Savannah (Navrongo, Bawku)",Roadside (highway)
1,Half-Assin,Hunter,1-5,3.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Half-Assin,Hunter,6-10,8.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Half-Assin,Vendor,51-100,75.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Half-Assin,Consumer,51-100,75.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Half-Assin,Consumer,6-10,8.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,
6,Half-Assin,Hunter,11-20,15.5,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Half-Assin,Hunter,11-20,15.5,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Half-Assin,Hunter,,0.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Half-Assin,Vendor,31-50,40.5,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Half-Assin,Fisherman,21-30,25.5,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Half-Assin,Fisherman,31-50,40.5,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Half-Assin,Fisherman,31-50,40.5,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Half-Assin,Fisherman,51-100,75.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Half-Assin,Fisherman,21-30,25.5,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Half-Assin,Fisherman,51-100,75.0,5.051,-2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Nkawkaw,Consumer,1-5,3.0,6.551,-0.766,,,,,,,
17,Tamale,Vendor,51-100,75.0,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,Tamale,Vendor,100-200,150.0,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,Tamale,Vendor,51-100,75.0,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,Tamale,Vendor,51-100,75.0,9.404,-0.842,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,Tamale,Vendor,6-10,8.0,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,Tamale,Vendor,51-100,75.0,9.404,-0.842,1.0,1.0,1.0,0.0,0.0,0.0,0.0
23,Tamale,Vendor,51-100,75.0,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,Tamale,Vendor,201-300,250.5,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,Tamale,Vendor,201-300,250.5,9.404,-0.842,1.0,0.0,1.0,1.0,1.0,1.0,0.0
26,Tamale,Vendor,51-100,75.0,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,Tamale,Vendor,301-500,400.5,9.404,-0.842,1.0,1.0,1.0,0.0,0.0,1.0,0.0
28,Tamale,Vendor,101-200,150.5,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,Tamale,Vendor,101-200,150.5,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,Tamale,Vendor,51-100,75.0,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,Tamale,Vendor,301-500,400.5,9.404,-0.842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
